age,marital,address,income,inccat,car,carcat,ed,employ,retire,empcat,jobsat,gender,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response
70,Unmarried,23,21000,Under $25,10.3,Economy,High school degree,21,1,3,2,f,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
37,Unmarried,15,51000,$50 - $74,24.700000000000003,Standard,College degree,5,0,2,1,m,6,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1
59,Married,15,43000,$25 - $49,21,Standard,Some college,8,0,2,3,f,4,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1
38,Unmarried,8,30000,$25 - $49,15.200000000000001,Standard,College degree,0,0,1,1,f,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
56,Unmarried,35,37000,$25 - $49,18.1,Standard,Some college,5,0,2,3,m,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1
48,Married,19,23000,Under $25,11.4,Economy,Did not complete high school,7,0,2,4,f,2,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1
28,Married,2,16000,Under $25,7.9,Economy,College degree,0,0,1,1,m,3,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0
20,Married,0,19000,Under $25,9.600000000000001,Economy,High school degree,1,0,1,4,m,8,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
68,Unmarried,23,22000,Under $25,10.700000000000001,Economy,High school degree,24,1,3,3,m,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
26,Unmarried,2,38000,$25 - $49,18.6,Standard,College degree,1,0,1,1,m,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
29,Married,4,74000,$50 - $74,37.300000000000004,Luxury,College degree,0,0,1,5,f,4,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1
23,Married,3,13000,Under $25,6.4,Economy,High school degree,1,0,1,1,m,4,1,1,0,0,NA,1,1,1,0,1,0,1,1,1,1
61,Unmarried,37,41000,$25 - $49,20.200000000000003,Standard,Some college,21,1,3,4,m,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1
39,Unmarried,12,48000,$25 - $49,25.6,Standard,Did not complete high school,6,0,2,2,f,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1
47,Married,13,176000,$75+,88.9,Luxury,College degree,5,0,2,2,f,3,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1
36,Unmarried,2,40000,$25 - $49,20.400000000000002,Standard,College degree,8,0,2,2,m,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1
61,Unmarried,17,837000,$75+,73.4,Luxury,High school degree,42,0,3,5,m,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0
32,Married,1,71000,$50 - $74,35.4,Luxury,College degree,9,0,2,2,m,2,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1
28,Married,0,30000,$25 - $49,14.4,Economy,College degree,5,0,2,2,m,4,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1
66,Married,46,42000,$25 - $49,19.900000000000002,Standard,High school degree,10,0,2,2,f,2,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1
35,Married,9,51000,$50 - $74,25.400000000000002,Standard,Did not complete high school,14,0,2,4,m,2,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1
55,Married,23,352000,$75+,67.7,Luxury,College degree,23,0,3,4,m,4,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1
47,Unmarried,27,122000,$75+,60.400000000000006,Luxury,College degree,20,0,3,5,f,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1
34,Married,0,38000,$25 - $49,19.6,Standard,Some college,7,0,2,2,m,5,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1
29,Unmarried,0,67000,$50 - $74,34.2,Luxury,High school degree,10,0,2,2,m,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
36,Unmarried,5,31000,$25 - $49,15.600000000000001,Standard,Some college,0,0,1,1,m,3,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1
38,Married,4,51000,$50 - $74,25.900000000000002,Standard,Some college,7,0,2,2,m,4,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1
33,Married,10,35000,$25 - $49,17.3,Standard,College degree,2,0,1,3,m,5,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
46,Married,12,88000,$75+,42.7,Luxury,High school degree,23,0,3,4,f,2,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0
29,Unmarried,5,60000,$50 - $74,30.400000000000002,Luxury,College degree,2,0,1,3,f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,Married,7,53000,$50 - $74,25,Standard,Some college,2,0,1,1,f,6,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1
38,Unmarried,1,42000,$25 - $49,20.5,Standard,High school degree,6,0,2,2,m,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
39,Married,1,29000,$25 - $49,14.3,Economy,Did not complete high school,7,0,2,3,f,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1
34,Married,3,62000,$50 - $74,31,Luxury,Post-undergraduate degree,2,0,1,4,m,7,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
58,Married,21,46000,$25 - $49,22.200000000000003,Standard,High school degree,0,0,1,2,m,2,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1
29,Unmarried,2,31000,$25 - $49,15.4,Standard,Did not complete high school,12,0,2,2,f,2,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
64,Unmarried,16,16000,Under $25,8.1,Economy,College degree,8,1,2,2,m,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1
41,Unmarried,12,36000,$25 - $49,18.2,Standard,Some college,0,0,1,2,m,2,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1
44,Unmarried,24,25000,$25 - $49,11.9,Economy,Did not complete high school,1,0,1,1,f,2,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1
60,Married,38,82000,$75+,40.300000000000004,Luxury,Did not complete high school,28,0,3,3,f,2,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1
32,Unmarried,7,25000,$25 - $49,12.700000000000001,Economy,College degree,4,0,1,4,f,2,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1
35,Unmarried,7,37000,$25 - $49,18.6,Standard,Some college,9,0,2,4,m,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0
58,Married,19,19000,Under $25,9.600000000000001,Economy,High school degree,3,0,1,1,m,2,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1
37,Unmarried,15,30000,$25 - $49,15,Standard,High school degree,6,0,2,4,f,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1
63,Married,28,208000,$75+,83.1,Luxury,High school degree,28,0,3,4,f,2,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1
22,Married,0,25000,$25 - $49,12.100000000000001,Economy,Some college,0,0,1,4,f,4,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1
66,Married,29,72000,$50 - $74,34.800000000000004,Luxury,High school degree,20,0,3,2,f,3,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1
26,Unmarried,1,19000,Under $25,9.4,Economy,Did not complete high school,0,0,1,1,m,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
44,Unmarried,13,104000,$75+,51,Luxury,High school degree,11,0,2,4,f,1,1,0,0,0,NA,1,1,1,1,1,1,0,0,0,1
41,Unmarried,9,25000,$25 - $49,12.4,Economy,High school degree,2,0,1,3,f,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1
26,Married,7,15000,Under $25,7.6000000000000005,Economy,Did not complete high school,0,0,1,2,m,3,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0
48,Unmarried,27,371000,$75+,74.6,Luxury,College degree,20,0,3,2,f,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1
